No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings
373,28.6250,19.0000, , ,1.0000, ,3.11597
374,28.6750,20.0000, , ,1.0000, ,3.11065
375,28.7250,12.0000, , ,1.0000, ,3.10534
376,28.7750,9.0000, , ,1.0000, ,3.10006
377,28.8250,15.0000, , ,1.0000, ,3.09480
378,28.8750,11.0000, , ,1.0000, ,3.08955
379,28.9250,14.0000, , ,1.0000, ,3.08433
380,28.9750,16.0000, , ,1.0000, ,3.07912
381,29.0250,16.0000, , ,1.0000, ,3.07393
382,29.0750,20.0000, , ,1.0000, ,3.06875
383,29.1250,13.0000, , ,1.0000, ,3.06360
384,29.1750,18.0000, , ,1.0000, ,3.05846
385,29.2250,11.0000, , ,1.0000, ,3.05334
386,29.2750,17.0000, , ,1.0000, ,3.04824
387,29.3250,16.0000, , ,1.0000, ,3.04316
388,29.3750,9.0000, , ,1.0000, ,3.03809
389,29.4250,7.0000, , ,1.0000, ,3.03304
390,29.4750,12.0000, , ,1.0000, ,3.02801
391,29.5250,10.0000, , ,1.0000, ,3.02300
392,29.5750,15.0000, , ,1.0000, ,3.01800
393,29.6250,19.0000, , ,1.0000, ,3.01302
394,29.6750,3.0000, , ,1.0000, ,3.00806
395,29.7250,10.0000, , ,1.0000, ,3.00311
396,29.7750,13.0000, , ,1.0000, ,2.99818
397,29.8250,13.0000, , ,1.0000, ,2.99327
398,29.8750,15.0000, , ,1.0000, ,2.98837
399,29.9250,15.0000, , ,1.0000, ,2.98350
400,29.9750,11.0000, , ,1.0000, ,2.97863
401,30.0250,12.0000, , ,1.0000, ,2.97379
402,30.0750,16.0000, , ,1.0000, ,2.96896
403,30.1250,14.0000, , ,1.0000, ,2.96414
404,30.1750,17.0000, , ,1.0000, ,2.95934
405,30.2250,13.0000, , ,1.0000, ,2.95456
406,30.2750,11.0000, , ,1.0000, ,2.94980
407,30.3250,13.0000, , ,1.0000, ,2.94505
408,30.3750,17.0000, , ,1.0000, ,2.94031
409,30.4250,13.0000, , ,1.0000, ,2.93559
410,30.4750,15.0000, , ,1.0000, ,2.93089
411,30.5250,12.0000, , ,1.0000, ,2.92620
412,30.5750,16.0000, , ,1.0000, ,2.92153
413,30.6250,15.0000, , ,1.0000, ,2.91688
414,30.6750,12.0000, , ,1.0000, ,2.91224
415,30.7250,16.0000, , ,1.0000, ,2.90761
416,30.7750,21.0000, , ,1.0000, ,2.90300
417,30.8250,16.0000, , ,1.0000, ,2.89841
418,30.8750,17.0000, , ,1.0000, ,2.89383
419,30.9250,38.0000, , ,1.0000, ,2.88926
420,30.9750,21.0000, , ,1.0000, ,2.88471
421,31.0250,12.0000, , ,1.0000, ,2.88018
422,31.0750,26.0000, , ,1.0000, ,2.87566
423,31.1250,31.0000, , ,1.0000, ,2.87115
424,31.1750,26.0000, , ,1.0000, ,2.86666
425,31.2250,43.0000, , ,1.0000, ,2.86218
426,31.2750,31.0000, , ,1.0000, ,2.85772
427,31.3250,52.0000, , ,1.0000, ,2.85327
428,31.3750,52.0000, , ,1.0000, ,2.84884
429,31.4250,53.0000, , ,1.0000, ,2.84442
430,31.4750,65.0000, , ,1.0000, ,2.84002
431,31.5250,62.0000, , ,1.0000, ,2.83563
432,31.5750,49.0000, , ,1.0000, ,2.83125
433,31.6250,60.0000, , ,1.0000, ,2.82689
434,31.6750,49.0000, , ,1.0000, ,2.82254
435,31.7250,43.0000, , ,1.0000, ,2.81820
436,31.7750,37.0000, , ,1.0000, ,2.81388
437,31.8250,30.0000, , ,1.0000, ,2.80958
438,31.8750,22.0000, , ,1.0000, ,2.80528
439,31.9250,19.0000, , ,1.0000, ,2.80100
440,31.9750,41.0000, , ,1.0000, ,2.79674
441,32.0250,40.0000, , ,1.0000, ,2.79249
442,32.0750,23.0000, , ,1.0000, ,2.78825
443,32.1250,29.0000, , ,1.0000, ,2.78402
444,32.1750,26.0000, , ,1.0000, ,2.77981
445,32.2250,15.0000, , ,1.0000, ,2.77561
446,32.2750,17.0000, , ,1.0000, ,2.77142
447,32.3250,23.0000, , ,1.0000, ,2.76725
448,32.3750,22.0000, , ,1.0000, ,2.76309
449,32.4250,27.0000, , ,1.0000, ,2.75894
450,32.4750,20.0000, , ,1.0000, ,2.75481
451,32.5250,17.0000, , ,1.0000, ,2.75069
452,32.5750,13.0000, , ,1.0000, ,2.74658
453,32.6250,20.0000, , ,1.0000, ,2.74249
454,32.6750,19.0000, , ,1.0000, ,2.73840
455,32.7250,19.0000, , ,1.0000, ,2.73433
456,32.7750,16.0000, , ,1.0000, ,2.73028
457,32.8250,20.0000, , ,1.0000, ,2.72623
458,32.8750,28.0000, , ,1.0000, ,2.72220
459,32.9250,19.0000, , ,1.0000, ,2.71818
460,32.9750,22.0000, , ,1.0000, ,2.71417
